Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,,,,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,,STT,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Distance
0,161,0,0,0,1,189.6,78,55,13.37,1.3,,20,,0,0.524793388,1,1,0.5,0.111111111,0.755701254,0.666666667,0.770811922,0.542605827,0.5,,1,0,0.52,1,1,0.5,0.11,0.76,0.67,0.77,0.54,0.5,1.027
0,98,0,0,0,1,158.4,71,53,15.33,2.1,,0,,0,0.438016529,1,1,0.685185185,0.111111111,0.460661345,0.745454545,0.698869476,0.537658054,0.685,,2,0,0.44,1,1,0.69,0.11,0.46,0.75,0.7,0.54,0.69,1.104
0,85,0,0,0,2,216,73,53,9.41,3.6,,,,0,0.561983471,1,0,0,0,0.693842645,0.690909091,0.390544707,0.333150082,0.61,,3,0,0.56,1,0,0,0,0.69,0.69,0.39,0.33,0.61,1.614
0,117,0,1,1,1,196,82,71,16.14,3.7,,18.19,,0,0.342975207,0,0,0,0.222222222,0.853477765,0.43030303,0.441932169,0.17042331,0.33,,4,1,0.26,1,0,0.05,0.44,0.37,0.83,0.32,0.63,0.64,1.744
1,95,0,1,1.11,0,220.2,109,65.1,9.27,4.1,,0,,0,0.305785124,0,0,0,0.333333333,0.475199544,0.684848485,0.277492292,0.407916438,0.505,,5,1,0.66,1,0,0,0.44,0.95,0.41,0.72,0.87,0.27,1.652
1,152,0,1,1.16,1,146.8,128,61.6,14.28,4.3,,,,0,0.483471074,0,0,0,0,0.636830103,0.593939394,0.441932169,0.60637713,0.315,,6,1,0.31,1,0,0,0.56,0.18,0.54,0.12,0.47,0.29,1.893
0,19,0,0,0,0,237.7,98,59,10.36,4.5,,111.3,,0,0.495867769,1,1,0.375925926,0.333333333,0.622006842,0.533333333,0.753340185,0.958218802,0.375,,7,0,0.53,1,0,0,0,0.52,0.68,0.25,0.2,0.48,1.697
0,184,0,0,0,2,213.8,105,50,7.98,5,,14,,0,0.603305785,0,0,0,0,0.447548461,0.478787879,0.22610483,0.283672347,0.355,,n,0,0.58,0,1,0.56,0,0.74,0.51,0.81,0.61,0.56,
1,224,0,0,0.26,1,171.5,99,45.6,8,5,,,,0,0.479338843,1,0,0.035185185,0.111111111,0.525940707,0.587878788,0.512846865,0.966465091,0.435,,,,,,,,,,,,,,
0,89,0,0,0,1,125.6,108,40,10.65,5.4,,165,,0,0.578512397,0,1,0.559259259,0,0.737172178,0.509090909,0.81397739,0.610225399,0.56,,,,,,,,,,,,,,
